Open,High,Low,Close,Adj Close,Volume,Sentiment Score,LogReturn,RSI14,MACD,Intermediate Momentum
19.889999,20.139999,19.5,19.559999,19.559999,668100,0.4134,0.027233201583104716,44.122541162598054,-1.735004343681215,-4.329999999999998
19.950001,20.190001,19.65,20.1,20.1,578900,0.4134,0.021167464675016845,47.90929590413245,-1.7422997017023647,-3.729999999999997
20.4,20.809999,20.049999,20.530001,20.530001,418600,0.4134,0.0415036422877586,50.77029268547447,-1.71050964955149,-1.4299980000000012
21.040001,21.49,20.76,21.4,21.4,1214500,0.4134,0.026742026947669473,56.032012305662995,-1.6062121215295413,2.1999989999999983
21.190001,22.030001,21.129999,21.98,21.98,1969300,0.4134,-0.07410797215372167,59.165457253015944,-1.4617975747545735,5.869999
22.0,22.15,20.190001,20.41,20.41,2195800,0.4134,0.009266098973781833,48.988150495867934,-1.4649535587263465,4.609999999999999
20.690001,20.75,20.309999,20.6,20.6,597700,0.4134,0.01875505803700639,50.10667554395513,-1.4501876172817525,3.1400010000000016
20.43,21.17,20.299999,20.99,20.99,643600,0.4134,0.006174372354002422,52.41319377653142,-1.4023243680348578,3.59
21.15,21.280001,21.01,21.120001,21.120001,332000,0.4134,-0.03174879453892032,53.190012604290466,-1.3470340096186924,4.070001999999999
21.059999,21.26,20.32,20.459999,20.459999,313400,0.4134,-0.0014673028180931524,48.83170098254506,-1.352520799192252,2.3200000000000003
20.57,20.639999,20.34,20.43,20.43,141000,0.4134,0.0,48.6366276737601,-1.358712485565352,0.5899999999999999
20.43,20.790001,20.389999,20.43,20.43,267800,0.4134,-0.009343564410265959,48.636627673760096,-1.362971172188054,0.5400010000000002
20.440001,20.700001,20.07,20.24,20.24,171200,0.4134,0.0,47.25014225089339,-1.3816990114279726,-0.3999990000000011
20.200001,20.280001,20.030001,20.24,20.24,244000,0.4134,0.014713408766637848,47.25014225089338,-1.3971652905372878,-1.6700000000000017
20.639999,20.85,20.360001,20.540001,20.540001,318200,0.4134,0.010171993490804887,49.86719413991554,-1.3841089010916967,0.2400020000000005
21.0,21.030001,20.4,20.75,20.75,294800,0.4134,-0.010171993490804887,51.674559963539046,-1.3531915156147605,0.5300009999999986
20.889999,20.9,20.25,20.540001,20.540001,284700,0.4134,-0.0152076020062486,49.74328890061439,-1.3421250004404541,-0.4599989999999998
20.52,20.639999,20.219999,20.23,20.23,162800,0.4134,-0.008937547302388715,46.95353864463045,-1.3573795292545228,-1.0600009999999997
20.200001,20.41,20.0,20.049999,20.049999,245200,0.4134,0.029486215529776594,45.362699646602756,-1.385109502087733,-0.9000020000000006
20.16,20.690001,20.040001,20.65,20.65,312500,0.4134,0.004830927269665608,51.2873338355889,-1.3574635009680982,0.1000009999999989
20.610001,20.950001,20.450001,20.75,20.75,417100,0.4134,-0.0014468775479743456,52.21731797085322,-1.3228841633141712,0.030000999999998612
20.68,20.93,20.549999,20.719999,20.719999,161100,0.4134,0.006254579116077519,51.89720884523467,-1.2932144991770578,0.36999899999999997
20.940001,20.98,20.73,20.85,20.85,118500,0.4134,0.024166112663661643,53.235035211083925,-1.2543246109754165,0.9099990000000027
20.799999,21.870001,20.51,21.360001,21.360001,660900,0.4134,-0.01699762318504927,58.15216312282837,-1.174803093388519,0.44000099999999875
21.25,21.379999,20.65,21.0,21.0,356500,0.4134,0.009006981748855392,53.848099915696416,-1.1331613709602735,-0.9500010000000003
21.389999,21.5,20.959999,21.190001,21.190001,224200,0.4134,0.030213731404425737,55.71123028795012,-1.0785818026150906,-0.06999900000000281
21.139999,21.85,21.049999,21.84,21.84,280600,0.4134,-0.019885048275112727,61.44540924514231,-0.9732325216097308,1.3899989999999995
21.940001,22.75,21.309999,21.41,21.41,455800,0.4134,-0.007501207231165541,56.25633907535793,-0.9146164207881995,1.8200000000000003
21.68,21.879999,21.049999,21.25,21.25,322500,0.4134,0.02417597987603015,54.414913150219206,-0.8748898292484242,1.6499999999999986
21.280001,22.5,21.16,21.77,21.77,372600,0.4134,0.1343349282242059,59.10054682675698,-0.7941256023048417,2.739999000000001
22.6,25.33,22.15,24.9,24.9,1874000,0.4134,-0.01864662825073804,75.45496004174336,-0.4540767881653238,7.0
24.870001,24.969999,23.719999,24.440001,24.440001,1011000,0.4134,0.02185432947750776,70.96386778503062,-0.1882769223955556,6.840000999999997
24.5,25.0,24.030001,24.98,24.98,509500,0.4134,-0.014110333165878952,72.99583060894159,0.09604955004345683,6.66
25.0,25.690001,24.049999,24.629999,24.629999,956400,0.4134,0.175668066274707,69.59626118140251,0.3207957793947287,5.849998000000003
24.48,29.969999,24.049999,29.360001,29.360001,3060500,0.4134,-0.04600113997653299,81.87882344777948,0.9252219888378903,10.210001000000002
28.6,29.1,27.33,28.040001,28.040001,1945300,0.4134,0.062217677505833624,73.01408514033572,1.3531856490959449,9.270001
28.25,30.5,28.07,29.84,29.84,2729100,0.4134,0.031664882176435594,76.71606256232381,1.8887737791218413,11.049999
30.219999,32.939999,30.219999,30.799999,30.799999,2622900,0.4134,-0.037378223209265204,78.41664893598478,2.448618191467599,11.699998999999998
31.0,31.4,28.42,29.67,29.67,1347600,0.4134,-0.006085211475546082,71.77175856032473,2.8514084331907483,9.540001
30.200001,30.75,28.610001,29.49,29.49,750000,0.4134,0.01347272001265587,70.74339992599415,3.1941576087942742,10.289998999999998
30.67,30.74,28.92,29.889999,29.889999,956100,0.4134,0.03614062895981629,71.71333754392006,3.532266503018807,9.989999000000001
